Internal ID,Item,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
3951,PKGCST-INS-2 qty PKGCST-INS-2 qty,PKGCST-INS-2 qty,PKGCST-INS-2 qty,Inserts for Scooper,Inventory Item,2508,2508,Pride Industries,153 Tigers Hayward,2508,64,pride2tigers
346,LILY-PLG-PK LILY-PLG-PK,LILY-PLG-PK,LILY-PLG-PK,Lily Plug - Pink,Inventory Item,2555,2555,Pride Industries,153 Tigers Hayward,2555,65,pride2tigers
451,PKGFLWARTL PKGFLWARTL,PKGFLWARTL,PKGFLWARTL,Build-a-Bouquet Retail Package - 150E,Inventory Item,2557,2392,Pride Industries,153 Tigers Hayward,2557,66,pride2tigers
327,PETUNIA-PLG-PK PETUNIA-PLG-PK,PETUNIA-PLG-PK,PETUNIA-PLG-PK,Petunia Plug - Pink,Inventory Item,2571,2571,Pride Industries,153 Tigers Hayward,2571,67,pride2tigers
256,BWLY-SLDA BWLY-SLDA,BWLY-SLDA,BWLY-SLDA,Yellow Bowl for Salad Set - EcoPrime,Inventory Item,2646,2646,Pride Industries,153 Tigers Hayward,2646,68,pride2tigers
453,PKGSLDARTL PKGSLDARTL,PKGSLDARTL,PKGSLDARTL,Salad Set Retail Carton - 150E,Inventory Item,2710,2710,Pride Industries,153 Tigers Hayward,2710,69,pride2tigers
319,DAISY-SML-PK DAISY-SML-PK,DAISY-SML-PK,DAISY-SML-PK,Daisy - Small - Pink,Inventory Item,2964,2964,Pride Industries,153 Tigers Hayward,2964,70,pride2tigers
1035,CHS01R-P CHS01R-P,CHS01R-P,CHS01R-P,Pizza Parlor Cheese,Inventory Item,2987,2987,Pride Industries,153 Tigers Hayward,2987,71,pride2tigers
294,DAISY-LRG-YW DAISY-LRG-YW,DAISY-LRG-YW,DAISY-LRG-YW,Daisy - Large - Yellow,Inventory Item,2992,2992,Pride Industries,153 Tigers Hayward,2992,72,pride2tigers
348,PETUNIA-YW PETUNIA-YW,PETUNIA-YW,PETUNIA-YW,Petunia - Yellow,Inventory Item,3122,3122,Pride Industries,153 Tigers Hayward,3122,73,pride2tigers
325,LILY-LRG-PK LILY-LRG-PK,LILY-LRG-PK,LILY-LRG-PK,Lily - Large - Pink,Inventory Item,3147,3147,Pride Industries,153 Tigers Hayward,3147,74,pride2tigers
4262,PKGTLSBSLVA ,PKGTLSBSLVA,,BlueToolSet Sleeve_V17003917 ,Inventory Item,3216,8400,Pride Industries,153 Tigers Hayward,3216,75,pride2tigers
351,SLDA-SAL SLDA-SAL,SLDA-SAL,SLDA-SAL,Salad Set - Salt,Inventory Item,3239,4007,Pride Industries,153 Tigers Hayward,3239,76,pride2tigers
283,PEP01R-G PEP01R-G,PEP01R-G,PEP01R-G,Pizza Parlor Green Peppers,Inventory Item,3383,3383,Pride Industries,153 Tigers Hayward,3383,77,pride2tigers
334,LILY-PLG-YW LILY-PLG-YW,LILY-PLG-YW,LILY-PLG-YW,Lily Plug - Yellow,Inventory Item,3396,3396,Pride Industries,153 Tigers Hayward,3396,78,pride2tigers
286,SPN01R-SLDA SPN01R-SLDA,SPN01R-SLDA,SPN01R-SLDA,Orange Spoon for Salad Set,Inventory Item,3434,3434,Pride Industries,153 Tigers Hayward,3434,79,pride2tigers
2156,PKGSNWTAG PKGSNWTAG,PKGSNWTAG,PKGSNWTAG,Green Toys Sand and Water Tag - Mohawk 100% recycled tags - Full color (2 sided) - 5K Pricing..,Inventory Item,3511,3511,Pride Industries,153 Tigers Hayward,3511,80,pride2tigers
306,LILY-LRG-YW LILY-LRG-YW,LILY-LRG-YW,LILY-LRG-YW,Lily - Large - Yellow,Inventory Item,3514,3514,Pride Industries,153 Tigers Hayward,3514,81,pride2tigers
280,TOM01R-G TOM01R-G,TOM01R-G,TOM01R-G,Pizza Parlor Green Tomatoes,Inventory Item,3555,3555,Pride Industries,153 Tigers Hayward,3555,82,pride2tigers
314,SLDA-OIL SLDA-OIL,SLDA-OIL,SLDA-OIL,Salad Set - Olive Oil,Inventory Item,3558,4326,Pride Industries,153 Tigers Hayward,3558,83,pride2tigers
285,SPK01R-SLDA SPK01R-SLDA,SPK01R-SLDA,SPK01R-SLDA,Orange Spork for Salad Set,Inventory Item,3583,3583,Pride Industries,153 Tigers Hayward,3583,84,pride2tigers
287,CUT01R CUT01R,CUT01R,CUT01R,Pizza Parlor Pizza Cutter,Inventory Item,3809,3809,Pride Industries,153 Tigers Hayward,3809,85,pride2tigers
4226,PKGMTDSLV PKGMTDSLV,PKGMTDSLV,PKGMTDSLV,Tool Essentials Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item,3850,3850,Pride Industries,153 Tigers Hayward,3850,86,pride2tigers
337,SLDA-PEP SLDA-PEP,SLDA-PEP,SLDA-PEP,Salad Set - Pepper,Inventory Item,3860,4628,Pride Industries,153 Tigers Hayward,3860,87,pride2tigers
318,DAISY-LRG-PK DAISY-LRG-PK,DAISY-LRG-PK,DAISY-LRG-PK,Daisy - Large - Pink,Inventory Item,4052,4052,Pride Industries,153 Tigers Hayward,4052,88,pride2tigers
4225,PKGCMDSLV PKGCMDSLV,PKGCMDSLV,PKGCMDSLV,Cake Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item,4175,4175,Pride Industries,153 Tigers Hayward,4175,89,pride2tigers
308,LILY-SML-YW LILY-SML-YW,LILY-SML-YW,LILY-SML-YW,Lily - Small - Yellow,Inventory Item,4418,4418,Pride Industries,153 Tigers Hayward,4418,90,pride2tigers
4274,FLWA2-1285 FLWA2-1285,FLWA2-1285,FLWA2-1285,Green Toys Build-a-Bouquet 4C ,Assembly/Bill of Materials,4442,4328,Pride Industries,153 Tigers Hayward,4442,91,pride2tigers
4261,PKGTLSPSLVA PKGTLSPSLVA,PKGTLSPSLVA,PKGTLSPSLVA,PinkToolSet Sleeve_V17003917 ,Inventory Item,4526,8750,Pride Industries,153 Tigers Hayward,4526,92,pride2tigers
326,LILY-SML-PK LILY-SML-PK,LILY-SML-PK,LILY-SML-PK,Lily - Small - Pink,Inventory Item,4613,4613,Pride Industries,153 Tigers Hayward,4613,93,pride2tigers
411,PKGFLWARIS02 PKGFLWARIS02,PKGFLWARIS02,PKGFLWARIS02,Build-a-Bouquet Retail Insert - 4 Color Storage Box for parts,Inventory Item,4747,4747,Pride Industries,153 Tigers Hayward,4747,94,pride2tigers
323,DAISY-PLG-YW DAISY-PLG-YW,DAISY-PLG-YW,DAISY-PLG-YW,Daisy Plug - Yellow,Inventory Item,4856,4856,Pride Industries,153 Tigers Hayward,4856,95,pride2tigers
343,SLDA-VIN SLDA-VIN,SLDA-VIN,SLDA-VIN,Salad Set Vinegar,Inventory Item,4994,5762,Pride Industries,153 Tigers Hayward,4994,96,pride2tigers
288,SAU01R-P SAU01R-P,SAU01R-P,SAU01R-P,Pizza Parlor Pizza Sauce,Inventory Item,5091,5091,Pride Industries,153 Tigers Hayward,5091,97,pride2tigers
412,PKGSTPRIS PKGSTPRIS,PKGSTPRIS,PKGSTPRIS,Pizza Parlor Retail Insert - White Pizza box - 1 Color 150T,Inventory Item,5178,7770,Pride Industries,153 Tigers Hayward,5178,98,pride2tigers
331,CST01R CST01R,CST01R,CST01R,Pizza Parlor Crust,Inventory Item,5203,5203,Pride Industries,153 Tigers Hayward,5203,99,pride2tigers
309,LTC01R LTC01R,LTC01R,LTC01R,Sandwich Shop Lettuce,Inventory Item,5357,5357,Pride Industries,153 Tigers Hayward,5357,100,pride2tigers
250,SCF01R-PR SCF01R-PR,SCF01R-PR,SCF01R-PR,Screwdriver Flat - Purple - CC10107344WE,Inventory Item,5428,5428,Pride Industries,153 Tigers Hayward,5428,101,pride2tigers
431,PKGSTPRIS02 PKGSTPRIS02,PKGSTPRIS02,PKGSTPRIS02,Pizza Parlor Retail Insert - Kraft - 150T,Inventory Item,5616,5616,Pride Industries,153 Tigers Hayward,5616,102,pride2tigers
