Internal ID,Preferred Location,Name,Display Name,Description,Type,Base Price,CasePack,Harmonized Tariff Code,MSRP,Test Report,Product Line
1759,Pride Industries,PKGCHP1MCT,PKGCHP1MCT,"Character 4 Pack Master Carton - 200T..- MOQ 1,250",Inventory Item,,,9503.00.0000,0,,
1757,Pride Industries,PKGCHP1RTL,PKGCHP1RTL,"Character 4 Pack Retail Package - 0.024Kraftpak 2 color - MOQ 15,000..",Inventory Item,,,9503.00.0000,0,,
1761,Pride Industries,PKGCHP1THRMB,PKGCHP1THRMB,"Character 4 Pack Retail Thermoform Bottom (0.020 Thick) - SD - MOQ 20,000..",Inventory Item,,,9503.00.0000,0,,
1758,Pride Industries,PKGCHP1THRMT,PKGCHP1THRMT,"Character 4 Pack Retail Thermoform Top(0.020 Thick) - SD - MOQ 20,000..",Inventory Item,,,9503.00.0000,0,,
4254,Pride Industries,PKGCLSDBIG,PKGCLSDBIG,Closed BigBox_V17003922_Retail ,Inventory Item,,,9503.00.0000,,,
4255,Pride Industries,PKGCLSDBIGMCT,PKGCLSDBIGMCT,Closed BigBox_Master Carton ,Inventory Item,,,9503.00.0000,,,
4265,Pride Industries,PKGCLSDMID,PKGCLSDMID,Closed Mid Box_(123)_23165621-12-C  ,Inventory Item,,,9503.00.0000,,,
4267,Pride Industries,PKGCLSDMIDMCT,PKGCLSDMIDMCT,Closed Mid Box_Master Carton ,Inventory Item,,,9503.00.0000,,,
4264,Pride Industries,PKGCLSDSHRT,PKGCLSDSHRT,Closed Short_V17003916_Retail ,Inventory Item,,,9503.00.0000,,,
4266,Pride Industries,PKGCLSDSHRTMCT,PKGCLSDSHRTMCT,Closed Short_Master Carton  ,Inventory Item,,,9503.00.0000,,,
4225,Pride Industries,PKGCMDSLV,PKGCMDSLV,Cake Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item,,,9503.00.0000,0,,
1469,Pride Industries,PKGCSCARTL,PKGCSCARTL,Scooper Retail Package w. Insert - 150E,Inventory Item,0.00,,9503.00.0000,0,,
3951,Pride Industries,PKGCST-INS-2 qty,PKGCST-INS-2 qty,Inserts for Scooper,Inventory Item,,,9503.00.0000,,,
4228,Pride Industries,PKGD4PKMCT,PKGD4PKMCT,"Dough 4PK, 6 Unit Master Carton; 200T - 23943122-06-6PK ",Inventory Item,,,9503.00.0000,0,,
4227,Pride Industries,PKGD4PKRTL,PKGD4PKRTL,"Dough 4PK Retail Carton; 1C Flexo kraft, 23796747-02-Box  ",Inventory Item,,,9503.00.0000,0,,
4229,Pride Industries,PKGD4PKSLV,PKGD4PKSLV,Dough 4PK Retail Sleeve; 4CP 16PT CHIP C1S #23796747-02-A ,Inventory Item,,,9503.00.0000,0,,
1458,Pride Industries,PKGDKDGTHRM,PKGDKDGTHRM,Green Toys Duck/Dog Thermoform Insert - 100% PCRPET - 0.025 Thickness - 5% Mark-up - 70K Pricing,Inventory Item,0.00,,9503.00.0000,0,,
4221,Pride Industries,PKGDSTMCT,PKGDSTMCT,Dough Set Master Carton; 200T  ,Inventory Item,,,9503.00.0000,0,,
4220,Pride Industries,PKGDSTRTL,PKGDSTRTL,Dough Set Retail Carton; 1C Flexo kraft; 23165621-12-F-Box ,Inventory Item,,,9503.00.0000,0,,
441,Pride Industries,PKGFLWAMCT,PKGFLWAMCT,Build-a-Bouquet Master Carton - 200E,Inventory Item,,,9503.00.0000,,,
413,Pride Industries,PKGFLWARIS01,PKGFLWARIS01,Build-a-Bouquet Retail Insert - Flower Part holder - 150E,Inventory Item,,,9503.00.0000,,,
411,Pride Industries,PKGFLWARIS02,PKGFLWARIS02,Build-a-Bouquet Retail Insert - 4 Color Storage Box for parts,Inventory Item,,,9503.00.0000,,,
451,Pride Industries,PKGFLWARTL,PKGFLWARTL,Build-a-Bouquet Retail Package - 150E,Inventory Item,,,9503.00.0000,,,
4256,Pride Industries,PKGFLWSLVA,PKGFLWSLVA,BuildaBouquet_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item,,,9503.00.0000,,,
4223,Pride Industries,PKGFMDSLV,PKGFMDSLV,Flower Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item,,,9503.00.0000,0,,
4222,Pride Industries,PKGMMDSLV,PKGMMDSLV,Meal Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item,,,9503.00.0000,0,,
4226,Pride Industries,PKGMTDSLV,PKGMTDSLV,Tool Essentials Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16  ,Inventory Item,,,9503.00.0000,0,,
4224,Pride Industries,PKGRMDSLV,PKGRMDSLV,Race Maker Retail Sleeve; 4CP 16PT CHIP C1S #23165621-16 ,Inventory Item,,,9503.00.0000,0,,
1036,Pride Industries,PKGSLDA-OVSP,PKGSLDA-OVSP,Salad Set Folding Oil & Vinegar Bottle and Salt & Pepper Shakers,Inventory Item,,,,,,
452,Pride Industries,PKGSLDAMCT,PKGSLDAMCT,Salad Set Master Carton - 200T,Inventory Item,,,9503.00.0000,,,
453,Pride Industries,PKGSLDARTL,PKGSLDARTL,Salad Set Retail Carton - 150E,Inventory Item,,,9503.00.0000,,,
4263,Pride Industries,PKGSLDSLVA,,Salad Set Sleeve_23165621-16_OL_LQ_20170630  ,Inventory Item,,,9503.00.0000,,,
2166,Pride Industries,PKGSNWHDR1,PKGSNWHDR1,"Green Toys Sand & Water Play Header Card Bag - 5.25x6.5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item,,,9503.00.0000,,,
2151,Pride Industries,PKGSNWHDR2,PKGSNWHDR2,"Green Toys Sand & Water Play Header Card Bag - 6.25x5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item,,,9503.00.0000,,,
2156,Pride Industries,PKGSNWTAG,PKGSNWTAG,Green Toys Sand and Water Tag - Mohawk 100% recycled tags - Full color (2 sided) - 5K Pricing..,Inventory Item,,,9503.00.0000,,,
419,Pride Industries,PKGSTPMCT02,PKGSTPMCT02,Pizza Parlor Master Carton - New Design - 200T,Inventory Item,,,9503.00.0000,,,
412,Pride Industries,PKGSTPRIS,PKGSTPRIS,Pizza Parlor Retail Insert - White Pizza box - 1 Color 150T,Inventory Item,,,9503.00.0000,,,
431,Pride Industries,PKGSTPRIS02,PKGSTPRIS02,Pizza Parlor Retail Insert - Kraft - 150T,Inventory Item,,,9503.00.0000,,,
1034,Pride Industries,PKGSTPRTL02,PKGSTPRTL02,Pizza Parlor Retail Package - New Design - 150T,Inventory Item,,,9503.00.0000,,,
4259,Pride Industries,PKGSTPSLVA,PKGSTPSLVA,Pizza_Sleeve_V17003923_OL_LQ_20170630 ,Inventory Item,,,9503.00.0000,,,
4260,Pride Industries,PKGSTSSLVA,PKGSTSSLVA,Sandwich_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item,,,9503.00.0000,,,
420,Pride Industries,PKGTEARTL02,PKGTEARTL02,Tea Set Retail Package - BU1493 BLUE - for TEAB-1074,Inventory Item,,,9503.00.0000,,,
4262,Pride Industries,PKGTLSBSLVA,,BlueToolSet Sleeve_V17003917 ,Inventory Item,,,9503.00.0000,,,
429,Pride Industries,PKGTLSMCT02,PKGTLSMCT02,Tool Set Master Carton - New Design - 200C,Inventory Item,,,9503.00.0000,,,
4261,Pride Industries,PKGTLSPSLVA,PKGTLSPSLVA,PinkToolSet Sleeve_V17003917 ,Inventory Item,,,9503.00.0000,,,
415,Pride Industries,PKGTLSRTL02,PKGTLSRTL02,Tool Set Retail Carton w/Insert - New Design - 150E,Inventory Item,,,9503.00.0000,,,
313,Pride Industries,PKL01R,PKL01R,Sandwich Shop Pickles,Inventory Item,,,9503.00.0000,,,
273,Pride Industries,PLI01R-GR,PLI01R-GR,Pliers - Green - CC10106972WE,Inventory Item,,,9503.00.0000,,,
269,Pride Industries,PLI01R-YW,PLI01R-YW,Pliers - Yellow - CC10106976WE,Inventory Item,,,9503.00.0000,,,
299,Pride Industries,PPR01R,PPR01R,Pizza Parlor Pepperoni,Inventory Item,,,9503.00.0000,,,
259,Pride Industries,SAU01R-B,SAU01R-B,Saucer - Blue 298U - CC10126439WE,Inventory Item,,,9503.00.0000,,,
1038,Pride Industries,SAU01R-LV2,SAU01R-LV2,PBK Lavender Cup Saucer,Inventory Item,,,9503.00.0000,,,
288,Pride Industries,SAU01R-P,SAU01R-P,Pizza Parlor Pizza Sauce,Inventory Item,,,9503.00.0000,,,
284,Pride Industries,SAW01R-GR,SAW01R-GR,Saw - Green - CC10106972WE,Inventory Item,,,9503.00.0000,,,
279,Pride Industries,SAW01R-YW,SAW01R-YW,Saw - Yellow - CC10106976WE,Inventory Item,,,9503.00.0000,,,
3940,Pride Industries,SCBK-1190,SCBK-1190,Book & Scooper Set - Closed Box ,Assembly/Bill of Materials,12.50,4,9503.00.0000,24.99,,
247,Pride Industries,SCF01R-GR,SCF01R-GR,Screwdriver Flat - DK Green - CC10118086WE,Inventory Item,,,9503.00.0000,,,
250,Pride Industries,SCF01R-PR,SCF01R-PR,Screwdriver Flat - Purple - CC10107344WE,Inventory Item,,,9503.00.0000,,,
238,Pride Industries,SCP01R-GR,SCP01R-GR,Screwdriver Phillips - DK Green - CC10118086WE,Inventory Item,,,9503.00.0000,,,
239,Pride Industries,SCP01R-PR,SCP01R-PR,Screwdriver Phillips - Purple - CC10107344WE,Inventory Item,,,9503.00.0000,,,
1851,Pride Industries,SERVICES:Assembly:Assembly-CHP1 - KS,SERVICES:Assembly:Assembly-CHP1 - KS,,Inventory Item,0.00,,9503.00.0000,0,,
314,Pride Industries,SLDA-OIL,SLDA-OIL,Salad Set - Olive Oil,Inventory Item,,,9503.00.0000,,,
337,Pride Industries,SLDA-PEP,SLDA-PEP,Salad Set - Pepper,Inventory Item,,,9503.00.0000,,,
351,Pride Industries,SLDA-SAL,SLDA-SAL,Salad Set - Salt,Inventory Item,,,9503.00.0000,,,
343,Pride Industries,SLDA-VIN,SLDA-VIN,Salad Set Vinegar,Inventory Item,,,9503.00.0000,,,
