"Item Code",Description,"Netstock Unit of Measure","Unit Volume","Unit Weight","Superseded Item Code","Supersession Item Factor","Not Used","Unique Identifier"
RKTR-1040,"GT  Rocket - Red",,,3.18,,,,130
RTK01R,"GT  Recycling Truck",,,2.31,,,,120
RTKGB-1291,"Recycling Truck - Grey/Blue
",,,2.31,,,,4249
SBBK-1187,"Green Toys Sport Boat and Book Display......",,,,,,,3065
SBLA-1532,"Green Eats Snack Bowls - 4 per set - Assorted Case Pack",,,.23,,,,18
SBLB-2129,"Green Eats Snack Bowls - 4 per set - Blue",,,.23,,,,48
SBLG-2128,"Green Eats Snack Bowls- 4 per set - Green",,,.23,,,,49
SBLO-1533,"Green Eats Snack Bowls - 4 per set - Orange",,,.23,,,,41
SBLY-2127,"Green Eats Snack Bowls - 4 per set - Yellow",,,.23,,,,42
SCBK-1190,"Book & Scooper Set - Closed Box
",,,.84,,,,3940
SCDP-1270,"Scooper/Dumper Mixed Trucks - Kroger",,,.84,,,,4246
SCHY-1009,"GT  School Bus",,,1.65,,,,139
SCHY-1009EC,"GT  School Bus",,,1.65,,,,4298
SEAA-1031,"GT  Seaplane - Assorted",,,2.18,,,,91
SEAB-1086,"GT  Seaplane - Blue - Assorted",,,2.18,,,,65
SEABW-1292,"Seaplane - Blue/White
",,,2.18,,,,4251
SEAG-1029,"GT  Seaplane - Green",,,2.18,,,,109
SEAWB-1294,"Seaplane - White/Blue",,,2.18,,,,4252
SEAY-1030,"GT  Seaplane - Yellow",,,2.18,,,,106
SECA-1065,"GT  Seacopter - Assortment",,,1.56,,,,80
SECB-1063,"GT  Seacopter - Blue",,,1.56,,,,110
SECO-1064,"GT  Seacopter - Orange",,,1.56,,,,97
SGCL-1112,"CL Custom Stacker - Teal/Yellow/Grey/Purple",,,,,,,765
SLDA-1013,"Green Toys Play Salad Set",,,1.92,,,,1041
SLDA2-1284,"Green Toys Salad Set 4C
",,,1.92,,,,4279
SNBP-1025,"Green Toys Sand Play Set",,,0,,,,1351
SND01R,"Green Toys Green Sand Play Set",,,1.8,,,,1054
SNDA-1024,"Green Toys Sand Play Set - Assorted",,,1.8,,,,1140
SNDB-1017,"Green Toys Blue Sand Play Set",,,1.8,,,,1141
SNDP-1023,"Green Toys Pink Sand Play Set",,,1.8,,,,1240
SPFY-2135,"Green Eats Feeding Spoons and Forks - 4 ea. per set - Yellow",,,.13,,,,13
SPLA-2130,"Green Eats Snack Plates - 4 per set - Assorted Case",,,.22,,,,25
SPLB-2134,"Green Eats Snack Plates - 4 per set - Blue",,,.22,,,,45
SPLG-2133,"Green Eats Snack Plates - 4 per set - Green",,,.22,,,,43
SPLO-2131,"Green Eats Snack Plates - 4 per set - Orange",,,.22,,,,36
SPLY-2132,"Green Eats Snack Plates - 4 per set - Yellow",,,.22,,,,37
SPNY-2136,"Green Eats Feeding Spoons - 8 per set - Yellow",,,.13,,,,30
SPS2-1224,"Green Toys Shape Sorter - Pink and Purple
",,,,,,,3949
SPSA-1036,"GT  Shape Sorter",,,1.72,,,,135
SPSL-1150,"GT Shape Sorter - Limeade",,,1.5,,,,1139
SRWB-1185,"Stacking Cups - Assorted, Red White Blue
",,,,,,,3497
SSEA-1072,"GT  Seaplane Safe Seas Set - Assorted",,,2.43,,,,34
SSUB-1073,"GT  Submarine Safe Seas Set - Assorted",,,1.75,,,,32
