Internal ID,Name,Display Name,Description,Type,Preferred Location
452,PKGSLDAMCT,PKGSLDAMCT,Salad Set Master Carton - 200T,Inventory Item,293 Tigers Hayward
453,PKGSLDARTL,PKGSLDARTL,Salad Set Retail Carton - 150E,Inventory Item,294 Tigers Hayward
4263,PKGSLDSLVA,,Salad Set Sleeve_23165621-16_OL_LQ_20170630  ,Inventory Item,295 Tigers Hayward
2166,PKGSNWHDR1,PKGSNWHDR1,"Green Toys Sand & Water Play Header Card Bag - 5.25x6.5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item,296 Tigers Hayward
2151,PKGSNWHDR2,PKGSNWHDR2,"Green Toys Sand & Water Play Header Card Bag - 6.25x5  - MOQ 20K; 23"" 3.6g 69 die mesh bag attached..",Inventory Item,297 Tigers Hayward
2156,PKGSNWTAG,PKGSNWTAG,Green Toys Sand and Water Tag - Mohawk 100% recycled tags - Full color (2 sided) - 5K Pricing..,Inventory Item,298 Tigers Hayward
419,PKGSTPMCT02,PKGSTPMCT02,Pizza Parlor Master Carton - New Design - 200T,Inventory Item,299 Tigers Hayward
412,PKGSTPRIS,PKGSTPRIS,Pizza Parlor Retail Insert - White Pizza box - 1 Color 150T,Inventory Item,300 Tigers Hayward
431,PKGSTPRIS02,PKGSTPRIS02,Pizza Parlor Retail Insert - Kraft - 150T,Inventory Item,301 Tigers Hayward
1034,PKGSTPRTL02,PKGSTPRTL02,Pizza Parlor Retail Package - New Design - 150T,Inventory Item,302 Tigers Hayward
4259,PKGSTPSLVA,PKGSTPSLVA,Pizza_Sleeve_V17003923_OL_LQ_20170630 ,Inventory Item,303 Tigers Hayward
4260,PKGSTSSLVA,PKGSTSSLVA,Sandwich_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item,304 Tigers Hayward
420,PKGTEARTL02,PKGTEARTL02,Tea Set Retail Package - BU1493 BLUE - for TEAB-1074,Inventory Item,305 Tigers Hayward
4262,PKGTLSBSLVA,,BlueToolSet Sleeve_V17003917 ,Inventory Item,306 Tigers Hayward
429,PKGTLSMCT02,PKGTLSMCT02,Tool Set Master Carton - New Design - 200C,Inventory Item,307 Tigers Hayward
4261,PKGTLSPSLVA,PKGTLSPSLVA,PinkToolSet Sleeve_V17003917 ,Inventory Item,308 Tigers Hayward
415,PKGTLSRTL02,PKGTLSRTL02,Tool Set Retail Carton w/Insert - New Design - 150E,Inventory Item,309 Tigers Hayward
313,PKL01R,PKL01R,Sandwich Shop Pickles,Inventory Item,310 Tigers Hayward
273,PLI01R-GR,PLI01R-GR,Pliers - Green - CC10106972WE,Inventory Item,311 Tigers Hayward
269,PLI01R-YW,PLI01R-YW,Pliers - Yellow - CC10106976WE,Inventory Item,312 Tigers Hayward
299,PPR01R,PPR01R,Pizza Parlor Pepperoni,Inventory Item,313 Tigers Hayward
259,SAU01R-B,SAU01R-B,Saucer - Blue 298U - CC10126439WE,Inventory Item,314 Tigers Hayward
1038,SAU01R-LV2,SAU01R-LV2,PBK Lavender Cup Saucer,Inventory Item,315 Tigers Hayward
288,SAU01R-P,SAU01R-P,Pizza Parlor Pizza Sauce,Inventory Item,316 Tigers Hayward
284,SAW01R-GR,SAW01R-GR,Saw - Green - CC10106972WE,Inventory Item,317 Tigers Hayward
279,SAW01R-YW,SAW01R-YW,Saw - Yellow - CC10106976WE,Inventory Item,318 Tigers Hayward
247,SCF01R-GR,SCF01R-GR,Screwdriver Flat - DK Green - CC10118086WE,Inventory Item,320 Tigers Hayward
250,SCF01R-PR,SCF01R-PR,Screwdriver Flat - Purple - CC10107344WE,Inventory Item,321 Tigers Hayward
238,SCP01R-GR,SCP01R-GR,Screwdriver Phillips - DK Green - CC10118086WE,Inventory Item,322 Tigers Hayward
239,SCP01R-PR,SCP01R-PR,Screwdriver Phillips - Purple - CC10107344WE,Inventory Item,323 Tigers Hayward
1851,SERVICES:Assembly:Assembly-CHP1 - KS,SERVICES:Assembly:Assembly-CHP1 - KS,,Inventory Item,324 Tigers Hayward
314,SLDA-OIL,SLDA-OIL,Salad Set - Olive Oil,Inventory Item,325 Tigers Hayward
337,SLDA-PEP,SLDA-PEP,Salad Set - Pepper,Inventory Item,326 Tigers Hayward
351,SLDA-SAL,SLDA-SAL,Salad Set - Salt,Inventory Item,327 Tigers Hayward
343,SLDA-VIN,SLDA-VIN,Salad Set Vinegar,Inventory Item,328 Tigers Hayward
285,SPK01R-SLDA,SPK01R-SLDA,Orange Spork for Salad Set,Inventory Item,329 Tigers Hayward
1581,SPN01R-PK,SPN01R-PK,Pink Spoon,Inventory Item,330 Tigers Hayward
354,SPN01R-PK2,SPN01R-PK2,PBK Pink Spoon,Inventory Item,331 Tigers Hayward
286,SPN01R-SLDA,SPN01R-SLDA,Orange Spoon for Salad Set,Inventory Item,332 Tigers Hayward
301,STPA-OP,STPA-OP,Pizza Parlor Order Pad,Inventory Item,333 Tigers Hayward
290,STSA-OP,STSA-OP,Sandwich Shop Order Pad,Inventory Item,334 Tigers Hayward
1583,SUG01R-PK,SUG01R-PK,Pink Sugar Bowl Base,Inventory Item,335 Tigers Hayward
223,SUG02R-PK2,SUG02R-PK2,PBK Pink Sugar Bowl Base 2013 - Holes added 07/15/2013,Inventory Item,336 Tigers Hayward
222,SUG02R-Y,SUG02R-Y,Sugar Bowl Base - Holes added - Yellow 129C - CC10106976WE,Inventory Item,337 Tigers Hayward
1037,TBX01R-BL,TBX01R-BL,Toolbox - CC10133673WE Blue ,Inventory Item,338 Tigers Hayward
274,TBX01R-PK,TBX01R-PK,Toolbox - Pink - CC10107335WE,Inventory Item,339 Tigers Hayward
4300,TEARTLINSB,TEARTLINSB,2017 Tea Retail (Blue) with Inserts,Inventory Item,340 Tigers Hayward
4301,TEARTLINSP,TEARTLINSP,2017 Tea Retail (Purple) with Inserts ,Inventory Item,341 Tigers Hayward
280,TOM01R-G,TOM01R-G,Pizza Parlor Green Tomatoes,Inventory Item,342 Tigers Hayward
241,TOM01R-R,TOM01R-R,Sandwich Shop and Pizza Parlor Red Tomatoes,Inventory Item,343 Tigers Hayward
275,WRE01R-GR,WRE01R-GR,Wrench - Green - CC10106972WE,Inventory Item,344 Tigers Hayward
272,WRE01R-YW,WRE01R-YW,Wrench - Yellow - CC10106976WE,Inventory Item,345 Tigers Hayward
