Customer Internal ID,Client,Service Type,Contract Date
71,Goodyear,SoP,20-Oct-14
16042,Corning,Annual Retainer,15-Oct-14
16042,Corning,SoP,15-Oct-14
68,General Dynamics,Other,8-Oct-14
1463,Stanford,Other,7-Oct-14
133,Walmart,Annual Retainer,2-Oct-14
88,McDonald's,Annual Retainer,1-Oct-14
102,Oracle,SoP,1-Oct-14
73,Hasbro,Annual Retainer,26-Sep-14
73,Hasbro,SoP,26-Sep-14
33,Avon Products,Annual Retainer,16-Sep-14
33,Avon Products,SoP,16-Sep-14
93,MSG,Activism,6-Sep-14
15011,Freeport,Annual Retainer,5-Sep-14
58,Duke Energy,Annual Retainer,2-Sep-14
102,Pepsi,Activism,30-Aug-14
116,Target,Annual Retainer,29-Aug-14
116,Target,Shareholder Proposal,29-Aug-14
68,General Dynamics,Annual Retainer,27-Aug-14
68,General Dynamics,SoP,27-Aug-14
129,Visa,Annual Retainer,27-Aug-14
38,Bank of Hawaii,SoP,26-Aug-14
62,Equifax,Annual Retainer,19-Aug-14
62,Equifax,SoP,19-Aug-14
1448,Govt Prop Income Trust,Annual Retainer,6-Aug-14
74,Hospitality Prop Trust,Annual Retainer,6-Aug-14
1460,Select Income REIT,Annual Retainer,3-Aug-14
105,Phillips 66,Annual Retainer,1-Aug-14
105,Phillips 66,SoP,1-Aug-14
110,Senior Housing Prop,Annual Retainer,25-Jul-14
121,TIBCO,Annual Retainer,24-Jul-14
91,Microsoft,Annual Retainer,11-Jul-14
91,Microsoft,SoP,11-Jul-14
15013,Valeant,M&A,30-Jun-14
115,Take Two Interactive,Vote No,11-Jun-14
119,Texas Instruments,Annual Retainer,11-Jun-14
12567,Republic Services,Annual Retainer,3-Jun-14
12567,Republic Services,SoP,3-Jun-14
115,Take Two Interactive,Annual Retainer,23-May-14
115,Take Two Interactive,Shareholder Proposal,23-May-14
115,Take Two Interactive,SoP,23-May-14
59,Dupont,Activism,22-May-14
79,JPMorgan,Annual Retainer,21-May-14
33,Avery Dennison,Annual Retainer,19-May-14
1452,International Paper,Annual Retainer,7-May-14
15011,Freeport,Annual Retainer,6-May-14
15011,Freeport,Shareholder Proposal,6-May-14
15011,Freeport,SoP,6-May-14
15011,Freeport,Vote No,6-May-14
46,Cablevision,Vote No,2-May-14
79,JPMorgan,SoP,14-Apr-14
38,Bank of Hawaii,Annual Retainer,9-Apr-14
38,Bank of Hawaii,SoP,9-Apr-14
62,EMC,Shareholder Proposal,9-Apr-14
123,Time Warner Cable,M&A,8-Apr-14
33,Avery Dennison,SoP,3-Apr-14
76,HP Inc,Annual Retainer,1-Apr-14
103,Pfizer,Annual Retainer,20-Mar-14
89,McKesson,SoP,10-Mar-14
2436,Ebay,Activism,7-Mar-14
29,Apple,Shareholder Proposal,5-Mar-14
112,Sotheby's,Activism,5-Mar-14
1442,Disney,Annual Retainer,21-Feb-14
1442,Disney,Shareholder Proposal,21-Feb-14
1442,Disney,SoP,21-Feb-14
1434,Cisco,Annual Retainer,12-Feb-14
107,QEP Resources,Activism,5-Feb-14
1463,Sprint,Annual Retainer,29-Jan-14
46,Cablevision,Annual Retainer,27-Jan-14
16042,Corning,SoP,27-Jan-14
132,Vornado,Annual Retainer,27-Jan-14
123,Time Warner Inc,SoP,24-Jan-14
80,Kilroy,Annual Retainer,15-Jan-14
80,Kilroy,Shareholder Proposal,15-Jan-14
80,Kilroy,SoP,15-Jan-14
80,Kilroy,Vote No,15-Jan-14
16042,Corning,Annual Retainer,10-Jan-14
71,Goldman Sachs,Annual Retainer,10-Jan-14
91,Microsoft,Activism,19-Dec-13
83,LabCorp,Annual Retainer,17-Dec-13
83,LabCorp,SoP,17-Dec-13
59,Dupont,Activism,20-Nov-13
41,Bunge,SoP,25-Oct-13
116,Target,SoP,25-Oct-13
116,Target,Vote No,25-Oct-13
71,Goodyear,Annual Retainer,9-Oct-13
71,Goodyear,SoP,9-Oct-13
68,General Dynamics,SoP,14-Sep-13
74,Hospitality Prop Trust,Annual Retainer,13-Sep-13
54,Costco,Annual Retainer,4-Sep-13
54,Costco,Shareholder Proposal,4-Sep-13
54,Costco,Vote No,4-Sep-13
2432,Air Products,Activism,30-Aug-13
102,Pepsi,Activism,29-Aug-13
1448,Govt Prop Income Trust,Annual Retainer,22-Aug-13
31,Atlas,Annual Retainer,20-Aug-13
31,Atlas,SoP,20-Aug-13
110,Senior Housing Prop,Annual Retainer,9-Aug-13
1460,Select Income REIT,Annual Retainer,25-Jul-13
15737,Dell (Denali),M&A,24-Jul-13
116,Target,Annual Retainer,19-Jul-13
76,HP Inc,Annual Retainer,16-Jul-13
89,McKesson,Shareholder Proposal,1-Jul-13
102,Pepsi,Annual Retainer,26-Jun-13
1436,CommonWealth,Activism,25-Jun-13
1436,CommonWealth,Annual Retainer,25-Jun-13
1436,CommonWealth,Vote No,25-Jun-13
79,JPMorgan,Annual Retainer,21-Jun-13
76,HP Inc,Other,1-Jun-13
1456,Nvidia,Other,23-May-13
89,McKesson,SoP,8-May-13
1436,Comcast,Shareholder Proposal,1-May-13
1463,Sprint,M&A,1-May-13
1456,Occidental,SoP,25-Apr-13
71,Goldman Sachs,Annual Retainer,1-Apr-13
71,Goldman Sachs,Shareholder Proposal,1-Apr-13
71,Goodyear,Annual Retainer,1-Apr-13
71,Goodyear,SoP,1-Apr-13
91,Microsoft,Activism,1-Apr-13
1456,Occidental,Annual Retainer,1-Apr-13
1456,Occidental,Vote No,1-Apr-13
103,Pfizer,Annual Retainer,21-Feb-13
1442,Disney,Annual Retainer,14-Feb-13
1442,Disney,Shareholder Proposal,14-Feb-13
1442,Disney,SoP,14-Feb-13
99,NRG,SoP,28-Jan-13
1463,Sprint,Annual Retainer,28-Jan-13
1463,Sprint,M&A,28-Jan-13
76,HP Inc,Shareholder Proposal,14-Dec-12
102,Pepsi,Annual Retainer,20-Nov-12
1442,Disney,Annual Retainer,1-Oct-12
1434,Chevron,Annual Retainer,26-Sep-12
1436,Comcast,Annual Retainer,1-Jul-12
,zzzzz,zzzzz,31-Dec-99
