Internal ID,project internal ID,Name,customer internal ID,Customer,Class,Contract Date,Start Date,Status,Project Type,Projected End Date
16153,16153,Range Resources : Range Resources Annual Retainer 2017,15012,Range Resources,Annual Retainer,3/20/2017,3/20/2017,Awarded,,
17529,17529,Reckitt Benckiser : Reckitt Benckiser Other 2017,16052,Reckitt Benckiser,Other,5/1/2017,5/1/2017,Awarded,,
12671,12671,Renault : Renault Annual Retainer 2016,12567,Renault,Annual Retainer,10/3/2016,10/3/2016,Awarded,,10/2/2017
12672,12672,Renault : Renault SoP 2017,12567,Renault,SoP,10/3/2016,10/3/2016,Awarded,,4/30/2017
16710,16710,"Republic Services, Inc. : Republic Proxy Annual Retainer 2017",108,"Republic Services, Inc.",Annual Retainer,5/30/2017,6/1/2017,Awarded,,
13906,13906,"Republic Services, Inc. : Republic Proxy Support Services 2017",108,"Republic Services, Inc.",Other,2/8/2017,2/8/2017,Awarded,,
1737,1737,"Republic Services, Inc. : Republic Services Annual Retainer 2015",108,"Republic Services, Inc.",,6/3/2015,6/1/2015, ,,
1738,1738,"Republic Services, Inc. : Republic Services Annual Retainer 2016",108,"Republic Services, Inc.",,5/30/2016,6/1/2016, ,,
1736,1736,"Republic Services, Inc. : Republic Services SoP 2014",108,"Republic Services, Inc.",,6/3/2014,6/3/2014, ,,
8357,8357,RPX : RPX Annual Retainer 2016,8158,RPX,Annual Retainer,11/17/2016,11/17/2016, ,,
13497,13497,RPX : RPX Other 2016,8158,RPX,Other,11/17/2016,11/17/2016,Awarded,,
1739,1739,Salesforce : Salesforce Annual Retainer 2015,109,Salesforce,,10/5/2015,10/5/2015, ,,
16045,16045,Salesforce : Salesforce Annual Retainer 2017,109,Salesforce,Annual Retainer,2/10/2017,1/1/2017,Awarded,,
16698,16698,Salesforce : Salesforce SoP 2017,109,Salesforce,SoP,2/10/2017,1/1/2017,Awarded,,
1740,1740,Select Income REIT : Select Income REIT Annual Retainer 2013,1460,Select Income REIT,,7/25/2013,7/25/2013, ,,
1741,1741,Select Income REIT : Select Income REIT Annual Retainer 2014,1460,Select Income REIT,,8/3/2014,7/1/2014, ,,
1742,1742,Sempra Energy : Sempra Energy Annual Retainer 2015,110,Sempra Energy,,10/29/2015,10/29/2015, ,,
8361,8361,Sempra Energy : Sempra Energy Annual Retainer 2016,110,Sempra Energy,Annual Retainer,9/30/2016,10/1/2016, ,,
1743,1743,Sempra Energy : Sempra Energy SoP 2016,110,Sempra Energy,,4/24/2016,4/22/2016, ,,
13498,13498,Sempra Energy : Sempra Energy SoP 2017,110,Sempra Energy,SoP,9/30/2016,10/1/2017,Awarded,,
1744,1744,Senior Housing Properties Trust : Senior Housing Prop Annual Retainer 2013,1462,Senior Housing Properties Trust,,8/9/2013,8/9/2013, ,,
1745,1745,Senior Housing Properties Trust : Senior Housing Prop Annual Retainer 2014,1462,Senior Housing Properties Trust,,7/25/2014,7/1/2014, ,,
1746,1746,Simpson Manufacturing : Simpson Manufacturing  SoP 2015,111,Simpson Manufacturing,,7/23/2015,7/23/2015, ,,
1747,1747,Simpson Manufacturing : Simpson Manufacturing  SoP 2016,111,Simpson Manufacturing,,6/16/2016,6/16/2016, ,,
15939,15939,Simpson Manufacturing : Simpson Manufacturing Activism 2017,111,Simpson Manufacturing,Activism,1/31/2017,1/20/2017,Awarded,,
1748,1748,Sotheby's : Sotheby's Activism 2014,112,Sotheby's,,3/5/2014,3/5/2014, ,,
1751,1751,Sprint : Sprint Annual Retainer 2014,1463,Sprint,,1/29/2014,1/1/2014, ,,
1749,1749,Sprint : Sprint M&A 2013 1,1463,Sprint,,1/28/2013,2/1/2013, ,,
1750,1750,Sprint : Sprint M&A 2013 2,1463,Sprint,,5/1/2013,5/1/2013, ,,
1752,1752,Stanford Management Company : Stanford Other 2014,113,Stanford Management Company,,10/7/2014,7/31/2014, ,,
1754,1754,"Staples, Inc. : Staples Annual Retainer 2015",114,"Staples, Inc.",,12/8/2015,12/12/2015, ,,
1753,1753,"Staples, Inc. : Staples SoP 2014",114,"Staples, Inc.",,12/12/2014,12/12/2014, ,,
1756,1756,Sysco : Sysco Activism 2016,115,Sysco,,1/29/2016,7/24/2015, ,,
1755,1755,Sysco : Sysco Annual Retainer 2015,115,Sysco,,7/24/2015,7/24/2015, ,,
